Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Malaysia,"96,830","94,220","90,780","81,340","83,070","94,910","38,190","7,350","33,480","62,150"
Maldives,530,580,460,560,440,530,270,210,510,680
Mali,"3,760","3,760","4,170","3,510","3,560","4,070","1,740","1,360","2,220","2,980"
Malta,"6,490","5,930","6,610","7,040","8,050","9,330","3,680",650,"5,840","9,570"
Marshall Islands,420,350,270,270,300,360,160,30,80,190
Martinique,"6,210","7,280","7,170","3,920","6,470","10,200","2,040",440,"3,110","3,140"
Mauritania,"1,800","1,800","1,620","1,120",850,"1,430",580,280,680,970
Mauritius,"6,100","5,920","6,220","5,640","5,990","7,400","3,120","1,010","4,010","5,620"
Mayotte,100,60,80,40,50,80,50,10,50,70
Mexico,"19,860,020","20,165,670","19,547,500","19,140,030","20,990,910","21,387,860","10,992,380","4,521,460","13,564,840","19,622,730"
"Micronesia, Federated States","1,730","1,380","1,540",830,"1,500","1,410",530,120,340,830
Moldova,"11,660","11,540","11,990","10,780","10,130","11,420","5,660","4,450","6,420","8,960"
Monaco,"4,230","3,700","4,170","2,970","3,940","5,390","2,410",610,"3,200","4,160"
Mongolia,"13,360","14,140","14,730","13,580","13,560","17,780","7,860","3,140","11,020","16,660"
Montserrat,340,300,320,210,260,440,180,100,200,310
Morocco,"29,990","32,600","33,760","27,740","25,740","33,180","14,540","8,000","22,950","32,570"
Mozambique,"3,490","3,000","2,870","2,160","2,500","2,850","1,250",480,"1,580","2,870"
Namibia,"2,710","2,750","2,730","2,270","2,330","3,010","1,380",550,"1,650","2,900"
Nauru,210,200,250,170,180,200,60,20,70,200
Nepal,"20,390","26,480","32,670","30,460","25,980","33,690","15,520","14,760","26,710","38,480"
Netherlands,"725,030","649,630","694,210","782,560","832,090","820,630","323,310","39,230","470,340","628,760"
Netherlands Antilles (former),"3,930","3,970","2,500","1,610","2,330","2,250",730,X,X,X
New Caledonia,990,780,720,600,910,"1,290",640,40,490,"1,080"
New Zealand,"303,020","297,500","319,770","344,020","361,810","354,820","128,290","10,890","107,360","299,110"
Nicaragua,"65,020","68,510","78,490","70,530","67,420","75,840","32,960","33,520","56,670","67,780"
Niger,"1,520","1,810","1,920","1,670","1,690","1,690",690,360,"1,000","1,130"
Nigeria,"181,830","200,920","197,750","148,120","158,710","163,050","56,790","37,800","65,290","108,970"
Niue,20,20,20,30,30,40,10,10,10,40
Norfolk Island,50,50,70,40,40,50,20,10,20,30
North Macedonia,"8,620","9,080","9,480","9,560","9,240","10,700","4,420","2,960","6,200","10,050"
Northern Mariana Islands,160,180,290,600,790,520,780,70,440,490
Norway,"340,340","313,010","289,540","309,690","308,270","295,310","111,410","10,090","127,910","190,280"
Oman,"12,010","12,750","12,570","10,460","11,640","12,360","5,540","4,090","7,000","7,760"
Pakistan,"84,210","98,150","116,950","95,740","96,570","100,340","46,950","39,190","70,020","92,950"
Palau,"2,400",580,390,310,340,300,140,80,240,220
Panama,"178,150","184,440","197,610","165,030","168,070","223,200","103,270","100,950","159,580","173,320"
Papua New Guinea,"1,460","1,940","1,510",960,880,"1,490",500,110,690,"1,370"
Paraguay,"33,760","34,710","35,720","29,830","32,910","37,630","15,270","35,320","25,150","28,770"
Peru,"289,940","318,290","343,670","299,500","292,550","377,180","182,590","334,860","351,150","369,720"
Philippines,"363,270","379,360","408,340","392,880","374,580","461,860","213,040","105,900","252,530","354,920"
Pitcairn Islands,100,50,50,30,80,110,40,10,30,60
Poland,"187,680","199,310","210,430","182,500","194,990","250,990","115,870","21,750","214,950","320,290"
Portugal,"132,270","127,530","135,000","163,850","172,850","168,910","72,500","10,630","111,060","152,340"
Puerto Rico,780,"1,000","1,060","1,100",990,900,620,390,610,"1,160"
Qatar,"32,230","35,800","38,650","29,070","34,200","39,480","14,230","18,320","31,450","36,940"
Reunion,920,"1,290","3,020","1,200","1,570","2,120",830,60,"1,260","1,890"
Romania,"83,820","86,200","93,420","84,720","87,630","108,970","48,170","23,360","58,880","89,560"
Russia,"389,480","302,710","289,950","222,770","182,450","278,210","135,010","77,730","62,800","63,030"
Rwanda,"4,570","4,580","5,630","4,870","5,620","7,200","2,770","2,420","4,370","5,590"
Saint Barthelemy,70,70,50,80,60,110,40,110,130,290
Saint Helena,50,50,50,40,60,80,20,20,40,50
Saint Kitts and Nevis,"12,380","12,530","12,670","10,960","10,430","14,200","5,590","2,040","7,420","11,760"
Saint Lucia,"16,130","16,960","18,510","14,900","14,120","19,240","7,410","5,430","11,760","15,420"
Saint Pierre and Miquelon,110,140,130,100,150,200,90,20,70,170
Saint Vincent and the Grenadines,"11,150","11,400","11,430","9,630","9,000","10,500","4,310","2,940","6,190","9,720"
Samoa,"1,950","2,130","2,340","1,860","2,140","2,740","1,280",450,"1,030","2,450"
San Marino,730,830,710,720,790,790,310,50,250,530
Sao Tome and Principe,140,130,130,110,120,100,20,20,40,70
Saudi Arabia,"294,760","312,730","271,550","177,410","171,930","175,390","54,950","45,030","81,470","102,350"
Senegal,"10,290","9,830","10,410","8,210","7,730","10,480","4,540","4,500","7,580","10,490"
Serbia and Montenegro (former),"7,520","37,000","39,170","25,730","9,050","9,460","5,340",X,X,X
Seychelles,460,500,520,320,420,560,190,110,420,470
Sierra Leone,"2,930","2,820","2,800","2,920","2,530","2,930","1,170","1,060","2,970","4,540"
Singapore,"175,840","166,590","167,600","167,010","182,390","202,180","87,240","12,710","102,220","169,360"
Sint Maarten,"2,060","1,930","2,070","2,080","3,030","5,430","2,690","3,860","6,470","6,300"
Slovakia,"48,580","46,300","50,940","55,500","58,300","62,810","23,300","3,440","33,170","45,970"
Slovenia,"23,580","23,390","24,570","26,370","28,600","31,270","14,380","2,400","15,390","23,770"
Solomon Islands,470,420,530,280,270,320,140,30,230,250
Somalia,300,300,400,280,260,180,110,100,160,300
South Africa,"141,640","148,560","146,550","116,330","127,810","161,920","76,460","24,750","85,540","139,860"
South Sudan,390,460,410,400,460,560,200,140,320,510
Spain,"899,990","880,440","938,340","1,011,450","1,051,940","1,071,260","427,000","91,270","748,920","882,480"
Sri Lanka,"22,190","23,400","25,220","23,560","21,500","22,800","8,700","4,180","12,300","18,350"
Sudan,"3,590","3,530","5,000","3,210","3,090","2,910","1,400",630,"1,450","2,350"
Suriname,"14,250","15,350","13,260","10,580","10,380","15,100","5,360","3,390","17,540","14,380"
Sweden,"592,150","571,050","576,270","573,370","571,900","506,260","223,610","16,410","218,770","310,940"
